data_point_id,source_paper,source_doi,feedstock_type,feedstock_category,feedstock_cellulose_pct,feedstock_hemicellulose_pct,feedstock_lignin_pct,feedstock_moisture_pct,feedstock_ash_pct,pyrolysis_temp_C,heating_rate_C_min,residence_time_h,pyrolysis_atmosphere,BET_surface_area_m2g,total_pore_volume_cm3g,micropore_volume_cm3g,mesopore_volume_cm3g,avg_pore_diameter_nm,C_pct,H_pct,N_pct,O_pct,H_C_molar_ratio,O_C_molar_ratio,pH,modification_type,Fe_loading_pct,modification_concentration_M,Qmax_Pb2_mg_g,Qmax_Cd2_mg_g,Qmax_Cr6_mg_g,Qmax_As3_mg_g,CO2_capacity_mmol_g,solution_pH,adsorbent_dosage_g_L,initial_metal_conc_mg_L,contact_time_h,temperature_C
DP-0256,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Coconut shell,Woody,17.3,11.7,24.3,6.5,4.9,500,5,2.0,N2,360.5,0.281,0.0593,0.2217,3.1,43.5,2.4,0.48,45.0,0.662,0.776,8.5,None,0.0,0.0,152.8,163.6,57.6,86.7,1.53,7.0,5.0,20,6,25
DP-0257,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,63.9,23.9,19.2,4.8,16.0,500,10,1.0,N2,261.4,0.1674,0.0648,0.1026,2.6,57.6,3.1,0.26,23.0,0.646,0.299,9.5,None,0.0,0.0,77.3,105.2,35.3,45.5,2.17,6.5,2.0,100,24,30
DP-0258,Yuan_2021,10.1021/acs.est.1c01849,Hickory wood,Woody,57.3,25.8,21.9,11.1,13.5,400,5,3.0,N2,205.9,0.1125,0.0289,0.0836,2.2,50.3,4.0,0.92,31.3,0.954,0.467,7.2,None,0.0,0.0,130.0,99.0,33.2,56.3,1.37,4.0,2.0,100,6,25
DP-0259,Palansooriya_2022,10.1021/acs.est.1c08302,Walnut shell,Woody,38.9,21.5,20.9,12.8,8.9,600,5,2.0,CO2,501.4,0.2644,0.117,0.1474,2.1,58.5,2.9,4.02,25.7,0.595,0.329,8.7,None,0.0,0.0,127.4,88.1,29.5,59.5,3.78,3.0,1.0,50,48,35
DP-0260,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Rice husk,Agricultural,56.5,26.2,15.1,7.0,12.6,450,15,1.0,N2,238.7,0.1209,0.0187,0.1022,2.0,42.2,4.3,1.22,39.7,1.223,0.706,7.9,None,0.0,0.0,126.2,153.1,44.1,63.8,0.99,3.0,2.0,50,4,35
DP-0261,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Sugarcane bagasse,Agricultural,39.7,16.0,14.5,10.9,8.6,400,10,2.0,N2,170.8,0.1385,0.033,0.1055,3.2,50.6,4.8,1.12,34.9,1.138,0.517,7.6,Base-treatment,0.0,0.67,89.3,100.6,27.0,79.1,0.29,7.0,2.0,10,12,20
DP-0262,Palansooriya_2022,10.1021/acs.est.1c08302,Olive pomace,Woody,38.0,19.9,28.9,8.5,8.5,650,5,3.0,N2,367.6,0.2407,0.1393,0.1014,2.6,65.0,2.5,1.28,22.7,0.462,0.262,9.4,N-doping,0.0,1.02,124.5,86.5,30.2,63.1,2.64,6.5,2.0,200,24,30
DP-0263,Long_2024,10.1016/j.chemosphere.2024.141584,Bamboo,Woody,57.4,30.0,27.9,7.3,10.0,300,20,1.0,N2,144.1,0.0883,0.0189,0.0694,2.5,39.6,4.3,5.83,40.3,1.303,0.763,7.3,None,0.0,0.0,135.9,132.2,51.8,65.9,2.85,4.0,1.0,200,48,25
DP-0264,Ma_2023,10.1016/j.seppur.2022.122521,Peanut shell,Agricultural,31.4,24.0,22.4,10.1,3.4,450,1,1.5,N2,253.0,0.188,0.0345,0.1535,3.0,59.8,4.2,0.61,32.0,0.843,0.401,8.0,None,0.0,0.0,126.8,125.3,43.2,75.2,2.08,6.0,4.0,10,12,35
DP-0265,Shen_2024,10.1016/j.jhazmat.2024.133442,Walnut shell,Woody,36.3,22.5,25.3,6.7,8.9,450,15,4.0,N2,332.4,0.2455,0.0564,0.1891,3.0,51.7,4.8,0.95,33.6,1.114,0.487,8.2,Acid-treatment,0.0,0.42,135.5,120.8,47.1,56.9,2.1,5.5,4.0,20,12,30
DP-0266,Long_2024,10.1016/j.chemosphere.2024.141584,Coconut shell,Woody,47.8,36.1,26.4,12.8,0.5,350,10,2.0,N2,324.1,0.2383,0.0595,0.1788,2.9,58.8,5.6,3.25,31.8,1.143,0.406,8.2,N-doping,0.0,0.81,164.5,84.0,44.8,65.3,1.83,6.0,1.0,50,4,50
DP-0267,Shen_2024,10.1016/j.jhazmat.2024.133442,Banana peel,Agricultural,38.5,30.1,17.7,13.0,0.7,450,10,1.5,N2,336.0,0.1917,0.0336,0.1581,2.3,46.8,3.3,2.5,45.0,0.846,0.721,8.2,Base-treatment,0.0,0.83,180.2,120.9,53.0,108.1,1.64,5.5,5.0,50,12,25
DP-0268,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Palm kernel shell,Woody,35.9,16.4,5.7,3.1,7.3,500,10,4.0,Ar,535.5,0.2974,0.1195,0.1779,2.2,55.5,4.4,1.2,31.6,0.951,0.427,7.7,None,0.0,0.0,153.3,125.2,53.2,80.5,2.67,5.0,5.0,50,24,25
DP-0269,Long_2024,10.1016/j.chemosphere.2024.141584,Rice husk,Agricultural,47.8,27.3,23.7,13.4,13.1,650,15,1.5,N2,440.0,0.3003,0.1956,0.1047,2.7,66.4,2.9,0.99,16.6,0.524,0.188,10.2,Acid-treatment,0.0,1.83,105.4,83.8,45.1,57.5,4.22,5.0,1.0,20,6,40
DP-0270,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Bamboo,Woody,20.6,23.6,30.4,9.9,13.1,500,10,2.0,N2,407.7,0.2132,0.0883,0.1249,2.1,45.9,4.5,4.2,32.3,1.176,0.528,8.8,Base-treatment,0.0,1.41,136.0,94.0,49.2,91.3,3.38,6.0,4.0,50,48,30
DP-0271,Sun_2022,10.1016/j.scitotenv.2022.154668,Water hyacinth,Waste,55.4,24.6,6.1,4.7,0.5,500,10,1.5,N2,223.6,0.1233,0.0232,0.1001,2.2,57.4,4.1,2.15,35.8,0.857,0.468,7.7,None,0.0,0.0,160.5,128.5,46.3,79.3,1.83,7.0,5.0,20,4,25
DP-0272,Ma_2023,10.1016/j.seppur.2022.122521,Bamboo,Woody,51.7,35.5,42.3,11.4,6.0,600,10,4.0,N2,346.4,0.2197,0.1158,0.1039,2.5,69.6,3.2,3.18,18.0,0.552,0.194,9.5,None,0.0,0.0,90.4,81.7,16.7,67.2,3.12,4.0,5.0,50,6,25
DP-0273,Yuan_2021,10.1021/acs.est.1c01849,Sewage sludge,Waste,41.9,33.5,20.7,6.0,12.4,650,3,0.5,N2,401.2,0.1991,0.1393,0.0598,2.0,65.7,2.8,2.22,16.9,0.511,0.193,9.2,None,0.0,0.0,112.2,63.4,27.9,52.6,3.72,7.0,2.0,10,2,25
DP-0274,Long_2024,10.1016/j.chemosphere.2024.141584,Bamboo,Woody,26.6,24.3,19.2,3.4,5.0,500,15,1.5,N2,266.2,0.1744,0.0684,0.106,2.6,59.8,3.4,3.29,28.5,0.682,0.357,9.2,Acid-treatment,0.0,0.44,105.1,110.0,41.8,74.2,2.63,5.5,1.0,100,24,25
DP-0275,Long_2024,10.1016/j.chemosphere.2024.141584,Eucalyptus,Woody,38.4,24.9,22.3,10.9,10.2,750,15,2.0,N2,480.2,0.3574,0.2315,0.1259,3.0,65.3,2.2,1.91,20.4,0.404,0.234,8.8,None,0.0,0.0,145.3,87.9,38.1,49.4,4.13,3.0,4.0,50,4,20
DP-0276,Sun_2022,10.1016/j.scitotenv.2022.154668,Pine wood,Woody,35.5,30.6,14.4,4.1,10.3,700,10,1.5,N2,515.3,0.3031,0.1136,0.1895,2.4,69.3,2.6,7.32,10.5,0.45,0.114,9.7,MgO,0.0,1.7,95.0,55.4,8.6,50.0,5.26,5.0,2.0,100,4,30
DP-0277,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Pine wood,Woody,42.7,37.8,26.2,9.8,10.9,550,20,1.0,N2,356.7,0.2209,0.0639,0.157,2.5,61.6,4.1,1.86,21.5,0.799,0.262,9.0,None,0.0,0.0,101.1,105.9,29.4,43.0,2.34,5.5,2.0,50,24,35
DP-0278,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,36.9,22.7,15.1,13.0,6.1,300,5,2.0,N2,220.8,0.192,0.0814,0.1106,3.5,49.1,5.2,0.41,39.2,1.271,0.599,7.8,None,0.0,0.0,139.2,128.1,36.2,78.9,1.34,6.0,0.5,100,4,30
DP-0279,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Sugarcane bagasse,Agricultural,35.4,23.2,14.9,8.6,6.8,350,5,3.0,N2,221.6,0.1451,0.0581,0.087,2.6,53.1,3.8,3.63,32.7,0.859,0.462,7.1,ZnO,0.0,0.77,121.6,108.4,21.8,57.8,2.52,5.0,2.0,50,12,20
DP-0280,Shen_2024,10.1016/j.jhazmat.2024.133442,Rice husk,Agricultural,50.6,38.3,24.5,8.6,5.5,450,3,2.0,CO2,190.7,0.152,0.0432,0.1088,3.2,51.8,2.9,0.29,39.5,0.672,0.572,8.9,None,0.0,0.0,122.3,130.1,37.9,94.5,0.91,4.0,1.0,50,12,30
DP-0281,Ma_2023,10.1016/j.seppur.2022.122521,Coffee grounds,Agricultural,32.4,21.8,19.0,6.1,14.1,700,10,0.5,N2,450.6,0.2674,0.1339,0.1335,2.4,61.9,2.5,1.04,20.5,0.485,0.248,10.1,None,0.0,0.0,90.2,48.8,30.2,81.9,3.21,6.0,5.0,50,6,20
DP-0282,Palansooriya_2022,10.1021/acs.est.1c08302,Rice husk,Agricultural,31.4,24.9,30.2,6.3,4.5,550,5,1.0,N2,298.3,0.215,0.1432,0.0718,2.9,59.7,2.9,0.51,32.4,0.583,0.407,9.1,Acid-treatment,0.0,1.49,128.3,97.2,35.8,74.2,2.31,6.5,4.0,10,2,25
DP-0283,Ma_2023,10.1016/j.seppur.2022.122521,Sugarcane bagasse,Agricultural,17.5,21.3,21.7,6.4,15.0,650,3,2.0,N2,463.1,0.3171,0.0907,0.2264,2.7,66.1,3.2,5.17,10.5,0.581,0.119,8.2,None,0.0,0.0,60.9,65.8,30.7,39.7,4.55,4.0,0.5,10,6,25
DP-0284,Palansooriya_2022,10.1021/acs.est.1c08302,Wheat straw,Agricultural,31.4,20.7,21.0,9.6,6.7,350,10,1.5,N2,159.1,0.1095,0.0238,0.0857,2.8,62.6,5.8,2.77,22.1,1.112,0.265,8.8,Acid-treatment,0.0,0.78,98.7,71.2,20.5,53.7,2.37,6.0,2.0,500,24,30
DP-0285,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Wheat straw,Agricultural,36.6,29.4,19.9,2.7,7.0,550,15,1.5,N2,373.5,0.251,0.0998,0.1512,2.7,64.9,3.5,1.83,22.8,0.647,0.263,9.8,None,0.0,0.0,119.6,101.3,22.0,63.3,2.29,5.0,2.0,200,48,25
DP-0286,Long_2024,10.1016/j.chemosphere.2024.141584,Corn stover,Agricultural,33.1,19.3,23.0,3.4,11.2,400,10,3.0,N2,250.8,0.1496,0.0242,0.1254,2.4,47.7,5.6,0.74,34.8,1.409,0.547,8.7,None,0.0,0.0,143.5,96.7,53.4,70.7,0.89,6.0,5.0,10,6,25
DP-0287,Ma_2023,10.1016/j.seppur.2022.122521,Walnut shell,Woody,15.0,16.9,17.0,7.0,1.6,600,5,3.0,N2,550.6,0.3182,0.1124,0.2058,2.3,56.5,3.3,0.5,38.1,0.701,0.506,9.6,None,0.0,0.0,161.9,131.8,62.3,85.0,2.56,6.5,2.0,20,6,20
DP-0288,Yuan_2021,10.1021/acs.est.1c01849,Corn stover,Agricultural,43.3,18.4,20.1,12.6,13.0,400,30,3.0,N2,291.3,0.1886,0.0361,0.1525,2.6,51.8,4.5,4.29,26.4,1.042,0.382,8.5,None,0.0,0.0,126.2,108.4,16.7,68.3,2.99,5.0,4.0,100,4,20
DP-0289,Ma_2023,10.1016/j.seppur.2022.122521,Hickory wood,Woody,24.6,32.7,25.5,12.3,10.7,300,15,2.0,N2,194.5,0.1797,0.0294,0.1503,3.7,45.6,4.7,2.53,36.5,1.237,0.6,8.4,Fe-loading,10.4,0.0,182.0,171.6,84.6,95.9,1.03,8.0,0.5,50,2,20
DP-0290,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Rice husk,Agricultural,38.1,13.6,18.9,8.0,8.5,550,20,2.0,N2,250.3,0.1648,0.0969,0.0679,2.6,58.1,4.8,1.66,26.9,0.991,0.347,9.4,None,0.0,0.0,139.0,80.0,35.1,58.4,2.76,7.0,10.0,100,12,25
DP-0291,Shen_2024,10.1016/j.jhazmat.2024.133442,Corn stover,Agricultural,51.2,30.2,21.3,11.4,9.0,500,5,0.5,N2,355.7,0.2497,0.1061,0.1436,2.8,66.7,3.5,3.11,17.7,0.63,0.199,8.2,None,0.0,0.0,118.5,93.0,34.1,72.7,3.13,7.0,5.0,200,6,25
DP-0292,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,38.7,32.4,9.9,7.0,8.7,450,5,2.0,N2,184.7,0.1375,0.0504,0.0871,3.0,51.9,2.7,3.84,32.9,0.624,0.475,6.6,None,0.0,0.0,134.1,100.4,32.7,67.7,2.42,5.0,1.0,100,2,35
DP-0293,Palansooriya_2022,10.1021/acs.est.1c08302,Walnut shell,Woody,40.9,20.2,30.4,9.5,2.9,550,20,1.5,CO2,414.0,0.227,0.1633,0.0637,2.2,72.9,3.4,1.05,19.7,0.56,0.203,8.7,MnO2,0.0,1.25,96.3,95.8,57.3,56.8,2.6,9.0,5.0,200,24,25
DP-0294,Palansooriya_2022,10.1021/acs.est.1c08302,Rice husk,Agricultural,31.5,21.7,40.0,7.1,9.8,750,3,0.5,N2,484.8,0.2624,0.109,0.1534,2.2,63.6,2.3,0.39,23.9,0.434,0.282,10.5,None,0.0,0.0,70.1,79.2,28.7,62.7,2.45,7.0,4.0,100,4,30
DP-0295,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Cotton stalk,Agricultural,51.4,18.6,11.2,9.1,2.8,550,15,4.0,N2,273.8,0.1837,0.0817,0.102,2.7,67.1,4.9,0.49,24.7,0.876,0.276,9.0,None,0.0,0.0,91.7,100.2,31.8,46.2,2.35,6.0,4.0,50,2,30
DP-0296,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Pine wood,Woody,36.1,25.1,20.8,9.7,5.2,450,5,2.0,N2,213.2,0.1943,0.0734,0.1209,3.6,59.4,4.6,2.0,28.8,0.929,0.364,8.0,None,0.0,0.0,122.7,89.0,32.4,55.2,1.83,3.0,5.0,10,12,25
DP-0297,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Corn stover,Agricultural,24.6,26.5,22.3,2.7,8.3,750,30,1.0,N2,471.8,0.3007,0.1532,0.1475,2.5,70.9,3.0,0.48,17.3,0.508,0.183,9.2,Fe-loading,9.8,0.0,149.5,118.1,64.8,72.3,2.8,5.5,1.0,200,48,30
DP-0298,Palansooriya_2022,10.1021/acs.est.1c08302,Rice husk,Agricultural,23.6,27.1,25.7,5.2,13.6,500,20,4.0,CO2,346.9,0.181,0.0805,0.1005,2.1,63.4,3.3,0.85,18.8,0.625,0.222,8.0,None,0.0,0.0,92.7,97.9,47.3,51.7,3.37,3.0,4.0,100,6,35
DP-0299,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Sewage sludge,Waste,27.3,14.7,25.7,8.0,7.6,450,5,1.0,N2,299.6,0.192,0.0523,0.1397,2.6,70.0,4.3,0.48,17.6,0.737,0.189,8.6,None,0.0,0.0,55.7,66.9,46.0,30.6,2.09,3.0,4.0,50,12,30
DP-0300,Long_2024,10.1016/j.chemosphere.2024.141584,Cotton stalk,Agricultural,41.2,28.1,32.9,7.9,16.2,800,5,2.0,N2,533.4,0.3265,0.1742,0.1523,2.4,66.0,1.5,1.4,14.9,0.273,0.169,10.9,Base-treatment,0.0,1.58,101.6,85.4,44.7,53.0,4.36,8.0,1.0,50,2,35
DP-0301,Long_2024,10.1016/j.chemosphere.2024.141584,Corn stover,Agricultural,28.3,10.2,20.8,4.8,10.3,500,10,0.5,N2,328.5,0.1776,0.0732,0.1044,2.2,44.7,3.7,1.32,40.0,0.993,0.671,8.4,MnO2,0.0,1.13,119.1,118.9,66.2,62.5,1.15,6.0,2.0,50,24,25
DP-0302,Yuan_2021,10.1021/acs.est.1c01849,Hickory wood,Woody,37.4,24.5,25.1,5.1,6.7,700,15,2.0,N2,446.0,0.2768,0.093,0.1838,2.5,57.0,1.7,0.59,34.0,0.358,0.447,9.4,None,0.0,0.0,131.6,120.9,44.4,70.4,2.5,6.0,5.0,100,12,25
DP-0303,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Palm kernel shell,Woody,27.7,17.1,26.4,7.0,9.7,500,10,2.0,N2,459.5,0.236,0.0771,0.1589,2.1,48.5,3.5,5.69,32.6,0.866,0.504,7.7,Acid-treatment,0.0,0.62,100.7,79.8,42.7,76.1,4.48,4.0,4.0,10,24,40
DP-0304,Long_2024,10.1016/j.chemosphere.2024.141584,Corn stover,Agricultural,37.0,20.6,22.4,15.9,13.8,550,20,3.0,N2,395.0,0.1756,0.0711,0.1045,1.8,55.7,1.9,0.71,27.9,0.409,0.376,9.1,ZnO,0.0,1.01,120.3,117.6,39.2,56.7,1.33,6.0,2.0,200,24,25
DP-0305,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Palm kernel shell,Woody,33.5,25.2,29.2,9.0,0.5,650,15,2.0,N2,580.3,0.3655,0.2387,0.1268,2.5,59.0,2.3,0.51,37.7,0.468,0.479,9.6,Fe-loading,0.6,0.0,153.1,119.0,76.6,97.6,3.54,5.0,2.0,200,6,30
DP-0306,Long_2024,10.1016/j.chemosphere.2024.141584,Palm kernel shell,Woody,40.3,14.6,17.6,3.6,7.7,700,15,2.0,N2,453.0,0.2501,0.1609,0.0892,2.2,69.6,2.2,0.47,20.0,0.379,0.216,10.4,Base-treatment,0.0,0.37,103.9,99.8,36.8,56.1,1.78,8.0,2.0,50,12,30
DP-0307,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Pine wood,Woody,48.1,13.5,32.8,10.0,10.4,550,3,2.0,N2,302.6,0.1834,0.0776,0.1058,2.4,48.1,4.5,0.91,36.1,1.123,0.563,7.8,Base-treatment,0.0,1.3,137.9,118.6,51.9,53.0,1.72,3.0,5.0,20,4,30
DP-0308,Ma_2023,10.1016/j.seppur.2022.122521,Coffee grounds,Agricultural,59.0,28.2,16.3,8.2,8.2,550,10,1.5,N2,421.1,0.2377,0.0827,0.155,2.3,56.8,4.1,0.45,30.4,0.866,0.401,7.9,None,0.0,0.0,132.3,95.0,46.8,74.6,2.26,7.0,4.0,10,6,30
DP-0309,Yuan_2021,10.1021/acs.est.1c01849,Corn stover,Agricultural,54.8,23.0,16.1,5.2,14.2,650,5,1.0,CO2,358.3,0.2082,0.0971,0.1111,2.3,73.0,3.2,1.1,8.5,0.526,0.087,9.5,Fe-loading,4.3,0.0,108.8,88.3,10.1,61.9,2.39,5.5,1.0,50,2,30
DP-0310,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Bamboo,Woody,34.1,23.8,22.1,6.9,9.7,400,3,0.5,N2,253.6,0.2088,0.0741,0.1347,3.3,55.3,4.5,0.49,30.0,0.976,0.407,7.7,None,0.0,0.0,127.3,84.4,44.3,56.3,1.65,6.5,1.0,200,24,30
DP-0311,Palansooriya_2022,10.1021/acs.est.1c08302,Corn stover,Agricultural,41.1,17.0,23.0,4.2,0.5,300,1,0.5,N2,222.6,0.1921,0.0537,0.1384,3.5,44.7,6.0,0.17,45.0,1.611,0.755,6.5,Base-treatment,0.0,0.72,167.6,157.4,43.1,115.1,1.14,6.0,4.0,100,6,30
DP-0312,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Rice husk,Agricultural,39.2,23.1,20.5,11.3,11.5,300,10,3.0,N2,206.1,0.1822,0.0457,0.1365,3.5,44.6,6.4,1.73,35.8,1.722,0.602,6.9,N-doping,0.0,1.28,109.8,83.9,39.3,81.6,0.48,6.0,1.0,100,2,25
DP-0313,Palansooriya_2022,10.1021/acs.est.1c08302,Rice husk,Agricultural,19.4,29.5,22.3,10.1,8.0,500,5,1.0,N2,313.2,0.1908,0.0396,0.1512,2.4,45.1,3.4,0.72,42.8,0.905,0.712,10.1,None,0.0,0.0,146.3,120.5,42.2,101.4,1.62,3.0,4.0,50,4,25
DP-0314,Yuan_2021,10.1021/acs.est.1c01849,Oak wood,Woody,41.8,20.6,10.6,13.3,11.1,600,10,2.0,N2,346.1,0.1814,0.0643,0.1171,2.1,61.3,3.8,1.62,22.2,0.744,0.272,8.0,None,0.0,0.0,95.0,90.7,34.7,58.6,3.05,7.0,1.0,50,6,30
DP-0315,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Wheat straw,Agricultural,35.7,24.0,23.6,5.2,7.7,450,15,0.5,N2,260.7,0.2362,0.0641,0.1721,3.6,62.8,5.2,0.6,23.7,0.994,0.283,8.6,None,0.0,0.0,119.6,101.2,37.6,55.5,1.24,6.0,1.0,50,4,30
DP-0316,Yuan_2021,10.1021/acs.est.1c01849,Pine wood,Woody,37.6,25.3,9.3,4.8,8.0,550,5,2.0,N2,385.4,0.2654,0.1612,0.1042,2.8,62.9,3.7,4.62,20.8,0.706,0.248,8.3,None,0.0,0.0,133.5,82.2,32.7,45.1,2.67,5.0,4.0,10,4,30
DP-0317,Yuan_2021,10.1021/acs.est.1c01849,Palm kernel shell,Woody,44.0,24.6,20.2,8.1,3.3,700,3,1.5,N2,530.6,0.3013,0.2248,0.0765,2.3,71.6,3.1,0.91,21.1,0.52,0.221,9.6,MnO2,0.0,0.72,114.2,88.7,42.8,49.4,4.38,7.0,1.0,200,4,25
DP-0318,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Wheat straw,Agricultural,27.0,29.1,31.1,8.1,3.7,500,10,1.0,N2,386.1,0.2727,0.1028,0.1699,2.8,55.2,2.7,3.34,35.1,0.587,0.477,9.0,None,0.0,0.0,127.7,107.5,39.1,85.5,2.7,5.0,2.0,50,12,40
DP-0319,Ma_2023,10.1016/j.seppur.2022.122521,Wheat straw,Agricultural,20.9,24.8,13.6,11.5,3.2,600,1,1.0,N2,416.8,0.2321,0.0883,0.1438,2.2,67.1,2.6,1.69,25.4,0.465,0.284,9.1,None,0.0,0.0,119.6,111.9,23.5,61.4,2.99,6.0,2.0,50,6,25
DP-0320,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Sewage sludge,Waste,25.1,28.5,5.0,9.1,15.3,600,5,2.0,N2,323.4,0.179,0.0918,0.0872,2.2,72.6,3.4,2.03,6.7,0.562,0.069,8.7,Acid-treatment,0.0,1.12,70.8,43.4,26.1,20.7,2.47,5.0,5.0,100,4,30
DP-0321,Shen_2024,10.1016/j.jhazmat.2024.133442,Sewage sludge,Waste,35.4,16.8,22.9,14.5,2.7,350,30,1.0,N2,189.7,0.1466,0.057,0.0896,3.1,54.0,5.1,0.91,37.3,1.133,0.518,8.7,Acid-treatment,0.0,1.62,125.4,154.2,54.4,91.7,2.07,9.0,4.0,50,24,25
DP-0322,Long_2024,10.1016/j.chemosphere.2024.141584,Corn stover,Agricultural,55.7,27.4,24.2,7.1,10.7,450,3,2.0,N2,282.9,0.1963,0.0512,0.1451,2.8,65.1,4.5,0.88,18.8,0.829,0.217,6.9,None,0.0,0.0,99.9,65.9,6.0,37.8,1.97,8.0,2.0,10,6,30
DP-0323,Zhang_W_2023,10.1016/j.scitotenv.2023.166678,Peanut shell,Agricultural,45.2,32.9,29.0,5.3,4.3,600,15,1.5,N2,339.7,0.2183,0.069,0.1493,2.6,50.4,3.7,5.52,36.1,0.881,0.537,9.1,Fe-loading,9.9,0.0,216.8,153.9,45.9,102.9,3.35,5.0,4.0,50,2,20
DP-0324,Palansooriya_2022,10.1021/acs.est.1c08302,Peanut shell,Agricultural,30.1,28.8,19.4,11.6,13.1,650,5,1.0,N2,407.8,0.2141,0.1503,0.0638,2.1,62.5,3.0,1.18,20.2,0.576,0.242,8.4,Acid-treatment,0.0,1.39,121.5,91.7,25.9,75.9,2.74,6.0,5.0,50,6,25
DP-0325,Sun_2022,10.1016/j.scitotenv.2022.154668,Switchgrass,Agricultural,40.6,20.6,19.2,4.9,2.3,700,1,3.0,CO2,412.7,0.291,0.1095,0.1815,2.8,60.3,2.9,3.99,30.5,0.577,0.379,9.1,None,0.0,0.0,101.9,85.7,46.2,63.1,3.85,6.5,5.0,100,24,30
DP-0326,Ma_2023,10.1016/j.seppur.2022.122521,Peanut shell,Agricultural,26.8,24.7,6.8,10.5,12.4,600,5,2.0,N2,383.4,0.257,0.1154,0.1416,2.7,63.2,3.4,1.51,19.5,0.646,0.231,6.8,None,0.0,0.0,73.9,76.2,17.7,71.0,2.59,7.0,5.0,100,4,40
DP-0327,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Peanut shell,Agricultural,42.7,25.5,14.1,12.2,1.0,400,1,1.0,N2,160.9,0.1631,0.0703,0.0928,4.1,42.9,5.1,0.77,45.0,1.427,0.787,7.7,None,0.0,0.0,155.0,130.0,30.0,67.0,1.6,8.0,2.0,10,4,30
DP-0328,Shen_2024,10.1016/j.jhazmat.2024.133442,Coconut shell,Woody,29.8,28.9,24.9,2.0,2.8,500,15,1.0,N2,265.1,0.2156,0.0798,0.1358,3.3,62.7,2.8,1.22,30.5,0.536,0.365,9.0,None,0.0,0.0,123.5,100.8,33.6,91.2,1.53,3.0,5.0,50,6,40
DP-0329,Yuan_2021,10.1021/acs.est.1c01849,Bamboo,Woody,48.2,25.3,22.5,10.3,6.1,600,5,1.5,N2,445.5,0.2624,0.1244,0.138,2.4,68.9,3.6,1.96,19.4,0.627,0.211,8.3,None,0.0,0.0,82.0,67.1,34.1,64.9,3.02,6.5,10.0,100,48,25
DP-0330,Long_2024,10.1016/j.chemosphere.2024.141584,Sawdust,Woody,36.0,22.6,18.2,9.2,5.8,400,10,1.0,N2,326.8,0.2175,0.0915,0.126,2.7,48.6,4.7,1.09,39.8,1.16,0.614,8.7,Fe-loading,9.6,0.0,162.6,190.0,50.1,105.8,1.02,6.0,2.0,50,4,25
DP-0331,Ke_2021,10.1016/J.CHEMOSPHERE.2021.130204,Rice husk,Agricultural,42.8,25.9,25.4,12.0,9.3,450,10,2.0,N2,244.0,0.1875,0.0353,0.1522,3.1,47.8,4.9,0.94,37.1,1.23,0.582,8.1,None,0.0,0.0,97.6,105.0,27.4,94.0,1.91,8.0,5.0,100,4,20
DP-0332,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Wheat straw,Agricultural,47.7,32.9,18.2,3.3,4.1,500,3,1.5,N2,399.2,0.2446,0.0678,0.1768,2.5,62.3,4.2,1.48,27.9,0.809,0.336,8.2,None,0.0,0.0,91.0,87.4,39.1,54.2,2.64,6.0,2.0,200,6,25
DP-0333,Yuan_2021,10.1021/acs.est.1c01849,Pine wood,Woody,20.4,31.0,11.8,10.1,8.7,450,5,2.0,Ar,273.8,0.1883,0.0283,0.16,2.8,57.0,4.5,2.53,27.3,0.947,0.359,9.1,Fe-loading,12.4,0.0,169.2,115.5,55.8,109.3,0.74,5.0,2.0,100,24,30
DP-0334,Sun_2022,10.1016/j.scitotenv.2022.154668,Cotton stalk,Agricultural,26.1,29.4,20.3,11.2,10.2,700,10,1.0,N2,386.7,0.2282,0.127,0.1012,2.4,67.3,2.8,1.2,18.5,0.499,0.206,8.5,None,0.0,0.0,95.4,67.9,18.8,48.2,3.48,6.0,2.0,20,1,30
